Qual é o objetivo principal da NR-1 em relação ao gerenciamento de riscos?,Estabelecer diretrizes e requisitos para o Gerenciamento de Riscos Ocupacionais (GRO) e medidas de prevenção em SST.
O que compõe obrigatoriamente o Programa de Gerenciamento de Riscos (PGR) conforme a NR-1?,O Inventário de Riscos e o Plano de Ação.
"Segundo a NR-1, o nível de risco ocupacional é determinado pela combinação de quais dois fatores?",Severidade das possíveis lesões e probabilidade de sua ocorrência.
Fórmula: Nível de Risco Ocupacional (NRO),$NRO = Severidade \times Probabilidade$
"Na gestão de riscos, o ciclo iterativo utilizado para a melhoria contínua é conhecido como _____.",Ciclo PDCA (Plan-Do-Check-Act)
O que deve ser priorizado na hierarquia de medidas de prevenção da NR-1?,A eliminação dos fatores de risco ou perigos.
Qual evento do eSocial é utilizado para comunicar as Condições Ambientais do Trabalho e Agentes Nocivos?,Evento S-2240
O monitoramento da saúde do trabalhador (exames médicos) deve ser enviado ao eSocial através de qual evento?,Evento S-2220
"De quanto em quanto tempo, no máximo, a avaliação de riscos deve ser revista em condições normais?",A cada dois anos.
Empresas com sistema de gestão certificado na norma _____ podem ter o prazo de revisão da avaliação de riscos estendido para até 3 anos.,ISO 45001
Qual é a fonte principal dos riscos psicossociais relacionados ao trabalho?,"A organização do trabalho (concepção, gestão e projeto das tarefas)."
"Na metodologia de triângulação para riscos psicossociais, quais são os três eixos de análise?","Observação da atividade, vivência do trabalhador e análise documental."
O que caracteriza a fase 'Check' (Verificar) do ciclo PDCA no gerenciamento de riscos?,A verificação da execução das ações e a análise dos resultados obtidos.
Como a NR-1 define o 'Inventário de Riscos'?,Um documento que consolida os dados da identificação de perigos e da avaliação dos riscos ocupacionais.
A técnica 5W2H é frequentemente aplicada na SST para a elaboração de qual documento?,Plano de Ação
"No contexto da NR-1, o que significa o termo 'GRO'?",Gerenciamento de Riscos Ocupacionais.
Qual é o gatilho para reavaliação imediata de riscos relacionado a acidentes de trabalho?,A ocorrência de acidentes ou doenças relacionadas ao trabalho.
A análise da organização do trabalho é o ponto de partida obrigatório para a identificação de perigos _____.,psicossociais
Termo: AEP (em ergonomia),"Definição: Avaliação Ergonômica Preliminar, obrigatória para identificar riscos ergonômicos e psicossociais."
Sob qual condição uma AET (Análise Ergonômica do Trabalho) torna-se obrigatória segundo a NR-17?,Quando a avaliação preliminar (AEP) for insuficiente para concluir sobre o risco ou indicar necessidade de aprofundamento.
Qual é o papel da CIPA no gerenciamento de riscos conforme a nova NR-1?,"Participar do monitoramento, acompanhamento e solicitar revisão da avaliação de riscos quando justificado."
"Na gradação da probabilidade, o descumprimento de um requisito legal de NR exige que o risco receba qual classificação?",A mais alta gradação de probabilidade.
Exemplo: Um colaborador sobrecarregado por metas impossíveis exige qual tipo de intervenção prioritária?,Intervenção organizacional (ajuste de fluxos e demandas).
O que deve constar no 'Plano de Ação' além das medidas de prevenção?,"Cronograma, responsáveis e formas de acompanhamento/aferição de resultados."
Como o 'Trabalho Real' difere do 'Trabalho Prescrito' na avaliação de riscos?,"O trabalho real é a atividade como ela é efetivamente realizada no dia a dia, não apenas como está nos manuais."
O uso de EPIs é considerado uma medida de controle eficaz para riscos psicossociais?,"Não, pois os riscos psicossociais exigem mudanças administrativas ou na organização do trabalho."
O que é o 'NETEP' (Nexo Técnico Epidemiológico Previdenciário)?,Um cruzamento de dados entre o CNAE da empresa e o CID do adoecimento para determinar nexo causal presumido.
"A ferramenta de gestão que utiliza as perguntas 'O quê?', 'Quem?', 'Onde?', 'Quando?', 'Por quê?', 'Como?' e 'Quanto custa?' é a _____.",5W2H
"No ciclo PDCA, qual fase envolve a implementação de ações corretivas após identificar desvios?",Fase Act (Agir/Ajustar)
O que deve ser feito se um exame periódico do PCMSO indicar exposição excessiva a um agente nocivo?,A organização deve reavaliar os riscos ocupacionais e as medidas de prevenção no PGR.
Qual é a principal diferença entre o antigo PPRA e o novo GRO?,"O GRO abrange todos os riscos (físicos, químicos, biológicos, acidentes e ergonômicos/psicossociais), enquanto o PPRA era restrito aos ambientais."
"Na matriz de risco, se a severidade é 'Moderada (3)' e a probabilidade é 'Possível (3)', qual é o nível de risco numérico?",9
"Segundo a NR-1, mudanças na liderança ou fusão de áreas são gatilhos para _____.",Revisão da avaliação de riscos (mudança na organização do trabalho).
Qual documento do PGR deve listar as 'lesões ou agravos à saúde' associados a cada perigo?,Inventário de Riscos
"Para garantir um diagnóstico psicossocial fidedigno, o que a organização deve assegurar aos trabalhadores durante pesquisas?",Confiança e anonimato.
O que representa o 'P' na metodologia 'Proteger' para riscos psicossociais?,Preparação (estudo das NRs e contexto).
Qual é a função do 'S-2210' no eSocial SST?,Comunicação de Acidente de Trabalho (CAT).
"Na hierarquia de controles, onde se posiciona o treinamento dos trabalhadores?",Em medidas administrativas e organizacionais.
O gerenciamento de riscos deve ser implementado por estabelecimento ou por empresa?,Por estabelecimento.
Qual é a consequência de aplicar pesquisas psicossociais sem dar devolutiva ou aplicar plano de ação?,Aumento do risco psicossocial por gerar frustração e quebra de expectativa.
A NR-1 exige o uso de uma matriz de risco específica (ex: 5x5)?,"Não, a organização pode escolher a ferramenta, desde que documente os critérios e seja tecnicamente justificada."
O que deve orientar a gradação da severidade quando um perigo tem múltiplas consequências possíveis?,A maior consequência plausível.
"As ferramentas psicométricas (ex: COPSOCK, Proarte) servem para _____ os riscos psicossociais.",diagnosticar/mapear
O evento do eSocial que utiliza a Tabela 24 para agentes nocivos é o _____.,S-2240
Qual profissional é geralmente responsável pela análise da ergonomia cognitiva e psicossocial?,Ergonomista (frequentemente com especialização em Saúde Mental ou Psicologia).
A emissão de CAT é obrigatória apenas em acidentes típicos ou também em doenças do trabalho confirmadas?,Também em doenças do trabalho confirmadas.
"No PGR, o que define a 'prioridade' de uma ação de controle?",A classificação do nível de risco obtida na matriz.
A NR-1 permite que o PGR seja implementado por unidade operacional ou setor?,"Sim, a critério da organização."
O que é o 'risco residual'?,O nível de risco que permanece após a implementação das medidas de prevenção.
"Na metodologia 'Proteger', o que significa o 'G'?",Graus de risco (levantamento e gradação).
Como a NR-1 trata a 'interrupção de atividades' em caso de risco grave e iminente?,O trabalhador tem o direito de interromper sua atividade e informar imediatamente ao superior.
Qual tabela do eSocial contém a lista de Agentes Nocivos e Atividades Relacionadas?,Tabela 24
O que caracteriza a fase 'Plan' (Planejar) no contexto do GRO?,"Identificação de perigos, análise de problemas e preparação do plano de ação."
A NR-1 aplica-se apenas a empregados CLT ou também a outros trabalhadores?,Aplica-se a empregados (CLT) e a organizações que possuam empregados.
Quem deve assinar os documentos que compõem o PGR?,O responsável pela organização (ou profissional habilitado por ela designado).
"Na avaliação de probabilidade quantitativa, qual parâmetro é utilizado para comparação?",O Limite de Exposição Ocupacional (LEO).
A 'fadiga física generalizada' e 'lombalgias' são danos à saúde típicos de quais riscos?,"Riscos ergonômicos (esforço físico intenso, posturas, etc.)."
O termo 'Burnout' está classificado em qual família do CID?,Família F (Transtornos mentais e comportamentais).
O que é o 'kickoff' em um projeto de implementação da NR-1?,Reunião inicial de alinhamento com a alta direção e partes interessadas.
A 'blindagem jurídica' de uma empresa através da NR-1 refere-se a quê?,À conformidade documental e prática que protege a empresa contra autuações e processos trabalhistas.
Qual a relação entre o PGR e o PCMSO (NR-7)?,O PCMSO deve ser planejado e atualizado com base nos riscos identificados no PGR.
A reavaliação de riscos após 'virada de metas no meio do ano' é obrigatória?,"Sim, pois configura modificação na organização do trabalho que pode alterar riscos existentes."
O que define um risco como 'Trivial' ou 'Baixo'?,Geralmente uma baixa severidade combinada com uma probabilidade improvável ou muito improvável.
"No 5W2H, o 'H' referente ao 'How much' (Quanto custa) refere-se a qual elemento do plano de ação?",Recursos financeiros necessários para a execução.
Qual o papel do 'Líder' na gestão de riscos psicossociais segundo a metodologia prática apresentada?,Identificar sinais precoces de adoecimento e ser o agente de execução de mudanças organizacionais.
